SAMPID	CD276_tpm	Histology	Dataset
GTEX-111YS-1026-SM-5GZYE	26.9630825830217	Esophagus	Human Normal (GTEx)
GTEX-111YS-1126-SM-5GZYQ	29.1370270043628	Stomach	Human Normal (GTEx)
GTEX-111YS-1226-SM-5EGGJ	30.2085548890726	Pancreas	Human Normal (GTEx)
GTEX-111YS-1326-SM-5EGGK	42.4170370933278	Adipose Tissue	Human Normal (GTEx)
GTEX-111YS-1426-SM-5GID8	23.0679305540492	Small Intestine	Human Normal (GTEx)
GTEX-111YS-1526-SM-5GZYW	22.7207039579839	Skin	Human Normal (GTEx)
GTEX-111YS-1626-SM-5GZZ9	33.6769424645611	Colon	Human Normal (GTEx)
GTEX-111YS-1726-SM-5GIED	47.6975793191637	Prostate	Human Normal (GTEx)
GTEX-111YS-1826-SM-5GIEP	35.7738744008815	Colon	Human Normal (GTEx)
GTEX-111YS-1926-SM-5GICC	54.9553274345843	Breast	Human Normal (GTEx)
GTEX-111YS-2026-SM-5EGGL	15.8868673572753	Testis	Human Normal (GTEx)
GTEX-111YS-2126-SM-5EGGM	23.3397825342469	Nerve	Human Normal (GTEx)
GTEX-111YS-2226-SM-5987P	89.1557553847597	Blood Vessel	Human Normal (GTEx)
GTEX-111YS-2326-SM-5987L	13.4114826179424	Muscle	Human Normal (GTEx)
GTEX-111YS-2426-SM-5GZZQ	34.5730351921351	Adipose Tissue	Human Normal (GTEx)
GTEX-1122O-0003-SM-5Q5DL	8.44274766303546	Blood	Human Normal (GTEx)
GTEX-1122O-0005-SM-5O99J	0.341528969383311	Blood	Human Normal (GTEx)
GTEX-1122O-0008-SM-5QGR2	96.6443589217025	Skin	Human Normal (GTEx)
GTEX-1122O-0126-SM-5GICA	24.6648744004996	Lung	Human Normal (GTEx)
GTEX-1122O-0226-SM-5N9DA	28.8415815044306	Thyroid	Human Normal (GTEx)
GTEX-1122O-0326-SM-5H124	74.7476234217041	Adrenal Gland	Human Normal (GTEx)
GTEX-1122O-0426-SM-5H12G	55.0353973931445	Blood Vessel	Human Normal (GTEx)
GTEX-1122O-0526-SM-5N9DM	29.284912216044	Spleen	Human Normal (GTEx)
GTEX-1122O-0626-SM-5N9B9	67.4662555376838	Heart	Human Normal (GTEx)
GTEX-1122O-0726-SM-5GIEV	33.5191424590073	Pancreas	Human Normal (GTEx)
GTEX-1122O-0826-SM-5GICV	88.3959448269612	Heart	Human Normal (GTEx)
GTEX-1122O-0926-SM-9YFLC	43.1365418621399	Adipose Tissue	Human Normal (GTEx)
GTEX-1122O-1026-SM-9WYSF	42.5299921110924	Skin	Human Normal (GTEx)
GTEX-1122O-1126-SM-5NQ8X	99.2926753405767	Blood Vessel	Human Normal (GTEx)
GTEX-1122O-1226-SM-5H113	69.7378238238088	Breast	Human Normal (GTEx)
GTEX-1122O-1326-SM-5H11F	16.1911967687966	Small Intestine	Human Normal (GTEx)
GTEX-1122O-1426-SM-5H11R	31.0566450906599	Colon	Human Normal (GTEx)
GTEX-1122O-1526-SM-5N9CL	30.1803981018574	Colon	Human Normal (GTEx)
GTEX-1122O-1626-SM-5N9CX	26.4029473738928	Esophagus	Human Normal (GTEx)
GTEX-1122O-1726-SM-5GICM	12.2997027206372	Esophagus	Human Normal (GTEx)
GTEX-1122O-1826-SM-5EGIP	32.7674667577553	Esophagus	Human Normal (GTEx)
GTEX-1122O-1926-SM-5EGIQ	30.3061867882698	Stomach	Human Normal (GTEx)
GTEX-1122O-2026-SM-9YFMG	52.6236335565759	Adipose Tissue	Human Normal (GTEx)
GTEX-1122O-2126-SM-5EGIR	37.3821737320162	Skin	Human Normal (GTEx)
GTEX-1122O-2326-SM-9YFL9	76.2359009029779	Blood Vessel	Human Normal (GTEx)
GTEX-1122O-2426-SM-5GIDN	12.355369492841	Muscle	Human Normal (GTEx)
GTEX-1128S-0005-SM-5P9HI	0.27712241122551	Blood	Human Normal (GTEx)
GTEX-1128S-0008-SM-5Q5DP	138.552355759496	Skin	Human Normal (GTEx)
GTEX-1128S-0126-SM-5H12S	24.9841395494424	Thyroid	Human Normal (GTEx)
GTEX-1128S-0326-SM-5GZZF	65.4662224086173	Blood Vessel	Human Normal (GTEx)
GTEX-1128S-0726-SM-5N9D6	21.8516939280549	Lung	Human Normal (GTEx)
GTEX-1128S-0826-SM-5GZZI	29.1633667425924	Pancreas	Human Normal (GTEx)
GTEX-1128S-0926-SM-5GZZU	77.0941747587001	Adipose Tissue	Human Normal (GTEx)
GTEX-1128S-1626-SM-5H12O	44.6542955465177	Colon	Human Normal (GTEx)
GTEX-1128S-2126-SM-5H12U	64.8182972866136	Adipose Tissue	Human Normal (GTEx)
GTEX-1128S-2326-SM-5GZZY	41.4741651101348	Skin	Human Normal (GTEx)
GTEX-1128S-2426-SM-5H11B	9.26689334476329	Muscle	Human Normal (GTEx)
GTEX-1128S-2526-SM-5H11N	82.9965860368563	Blood Vessel	Human Normal (GTEx)
GTEX-1128S-2626-SM-5H11Z	30.4517156400499	Pituitary	Human Normal (GTEx)
GTEX-1128S-2726-SM-5H12C	25.820243328541	Brain	Human Normal (GTEx)
GTEX-1128S-2826-SM-5N9DI	11.8757535362915	Brain	Human Normal (GTEx)
GTEX-113IC-0006-SM-5NQ9C	0.105687917079363	Blood	Human Normal (GTEx)
GTEX-113IC-0008-SM-5QGRF	90.3316025591269	Skin	Human Normal (GTEx)
GTEX-113IC-0126-SM-5HL6T	89.3201530977761	Skin	Human Normal (GTEx)
GTEX-113IC-0226-SM-5HL5C	113.407872181085	Adipose Tissue	Human Normal (GTEx)
GTEX-113IC-0426-SM-5HL5O	80.7457825525123	Blood Vessel	Human Normal (GTEx)
GTEX-113IC-0526-SM-5HL76	35.8685053604633	Nerve	Human Normal (GTEx)
GTEX-113JC-0006-SM-5O997	0.381825443129736	Blood	Human Normal (GTEx)
GTEX-113JC-0008-SM-5QGR6	139.320046764633	Skin	Human Normal (GTEx)
GTEX-113JC-0126-SM-5EGJW	32.1577354487269	Thyroid	Human Normal (GTEx)
GTEX-113JC-0726-SM-5GZZR	36.1377918387784	Adipose Tissue	Human Normal (GTEx)
GTEX-113JC-0926-SM-5H114	23.3721064204479	Esophagus	Human Normal (GTEx)
GTEX-113JC-1026-SM-5H117	27.3893931406835	Esophagus	Human Normal (GTEx)
GTEX-113JC-1926-SM-5N9GE	60.4098647563079	Vagina	Human Normal (GTEx)
GTEX-113JC-2226-SM-5EGJG	40.717126497162	Uterus	Human Normal (GTEx)
GTEX-113JC-2326-SM-5EQ4E	68.2095510916674	Skin	Human Normal (GTEx)
GTEX-113JC-2726-SM-5EGIS	12.7081674051103	Muscle	Human Normal (GTEx)
GTEX-113JC-2826-SM-5EGIT	25.6831622965601	Pituitary	Human Normal (GTEx)
GTEX-117XS-0005-SM-5PNU6	0.42683009695749	Blood	Human Normal (GTEx)
GTEX-117XS-0008-SM-5Q5DQ	93.5963158057002	Skin	Human Normal (GTEx)
GTEX-117XS-0426-SM-5GZZN	98.100538193369	Blood Vessel	Human Normal (GTEx)
GTEX-117XS-0526-SM-5987Q	44.5609980110839	Thyroid	Human Normal (GTEx)
GTEX-117XS-0726-SM-5H131	56.1282837660212	Heart	Human Normal (GTEx)
GTEX-117XS-1926-SM-5GICO	44.9879604584234	Breast	Human Normal (GTEx)
GTEX-117XS-2026-SM-5GID1	12.6826877156005	Testis	Human Normal (GTEx)
