SAMPID	Histology	minRTV	percent_minRTV	Histology.Short
KT-10	Wilms tumor	6.88e-08	-100	WT
KT-10	Wilms tumor	9.85e-09	-100	WT
COG-N-496x	Neuroblastoma	3.53e-09	-100	Neuroblastoma
COG-N-519x	Neuroblastoma	3.43e-09	-100	Neuroblastoma
COG-N-480x	Neuroblastoma	3.34e-09	-100	Neuroblastoma
COG-N-421x	Neuroblastoma	3.33e-09	-100	Neuroblastoma
COG-N-426x-Felix-PDX	Neuroblastoma	3.15e-09	-100	Neuroblastoma
COG-N-452x	Neuroblastoma	2.96e-09	-100	Neuroblastoma
COG-N-421x	Neuroblastoma	2.81e-09	-100	Neuroblastoma
COG-N-415x	Neuroblastoma	2.79e-09	-100	Neuroblastoma
COG-N-480x	Neuroblastoma	2.79e-09	-100	Neuroblastoma
NB-1643	Neuroblastoma	2.71e-09	-100	Neuroblastoma
COG-N-415x	Neuroblastoma	2.52e-09	-100	Neuroblastoma
COG-N-426x-Felix-PDX	Neuroblastoma	2.51e-09	-100	Neuroblastoma
NB-EBc1	Neuroblastoma	2.45e-09	-100	Neuroblastoma
COG-N-453x	Neuroblastoma	2.4e-09	-100	Neuroblastoma
COG-N-453x	Neuroblastoma	2.32e-09	-100	Neuroblastoma
NB-EBc1	Neuroblastoma	2.28e-09	-100	Neuroblastoma
COG-N-452x	Neuroblastoma	2.1e-09	-100	Neuroblastoma
OS-1	Osteosarcoma	0	-100	Osteosarcoma
OS-1	Osteosarcoma	0	-100	Osteosarcoma
OS-1	Osteosarcoma	0	-100	Osteosarcoma
OS-1	Osteosarcoma	0	-100	Osteosarcoma
OS-1	Osteosarcoma	0	-100	Osteosarcoma
OS-1	Osteosarcoma	0	-100	Osteosarcoma
OS-2	Osteosarcoma	0	-100	Osteosarcoma
OS-2	Osteosarcoma	0	-100	Osteosarcoma
OS-2	Osteosarcoma	0	-100	Osteosarcoma
OS-2	Osteosarcoma	0	-100	Osteosarcoma
OS-2	Osteosarcoma	0	-100	Osteosarcoma
OS-2	Osteosarcoma	0	-100	Osteosarcoma
OS-2	Osteosarcoma	0	-100	Osteosarcoma
OS-2	Osteosarcoma	0	-100	Osteosarcoma
OS-2	Osteosarcoma	0	-100	Osteosarcoma
OS-31	Osteosarcoma	0	-100	Osteosarcoma
OS-31	Osteosarcoma	0	-100	Osteosarcoma
OS-31	Osteosarcoma	0	-100	Osteosarcoma
OS-31	Osteosarcoma	0	-100	Osteosarcoma
OS-31	Osteosarcoma	0	-100	Osteosarcoma
OS-31	Osteosarcoma	0	-100	Osteosarcoma
OS-31	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
OS-33	Osteosarcoma	0	-100	Osteosarcoma
