SAMPID	CD276_tpm	Histology
TARGET-30-PASCFC-01	108.112414016645	Neuroblastoma
TARGET-30-PASCTR-01	106.291915915362	Neuroblastoma
TARGET-30-PASEGA-01	156.692430596841	Neuroblastoma
TARGET-30-PASFGG-01	85.5019310690903	Neuroblastoma
TARGET-30-PASFIC-01	219.837577352166	Neuroblastoma
TARGET-30-PASGAP-01	65.0997396965473	Neuroblastoma
TARGET-30-PASGAP-02	127.919302530867	Neuroblastoma
TARGET-30-PASGUT-01	93.538368600493	Neuroblastoma
TARGET-30-PASHFA-01	62.4781329275648	Neuroblastoma
TARGET-30-PASJZC-01	126.877243577709	Neuroblastoma
TARGET-30-PASMDM-01	82.6982187754774	Neuroblastoma
TARGET-30-PASMJG-01	86.7315447112453	Neuroblastoma
TARGET-30-PASMNT-01	51.5383725418937	Neuroblastoma
TARGET-30-PASNEF-01	117.302426081726	Neuroblastoma
TARGET-30-PASNML-01	182.125975998662	Neuroblastoma
TARGET-30-PASNPG-01	137.138578906262	Neuroblastoma
TARGET-30-PASNPG-02	92.1291599733003	Neuroblastoma
TARGET-30-PASNZU-01	119.783837676131	Neuroblastoma
TARGET-30-PASPBZ-01	147.82956910817	Neuroblastoma
TARGET-30-PASPER-01	124.619830517854	Neuroblastoma
TARGET-30-PASRFS-01	98.5092219466342	Neuroblastoma
TARGET-30-PASSRN-01	104.552749890925	Neuroblastoma
TARGET-30-PASSRS-01	151.66996550351	Neuroblastoma
TARGET-30-PASSWW-01	131.552081566585	Neuroblastoma
TARGET-30-PASTCN-01	63.8617342039584	Neuroblastoma
TARGET-30-PASTKC-01	78.2101220966827	Neuroblastoma
TARGET-30-PASUCB-01	170.957312558547	Neuroblastoma
TARGET-30-PASUML-01	133.851542550793	Neuroblastoma
TARGET-30-PASUYG-01	66.939256946223	Neuroblastoma
TARGET-30-PASVRU-01	102.046821877949	Neuroblastoma
TARGET-30-PASWFB-01	117.010076917163	Neuroblastoma
TARGET-30-PASWIJ-01	92.5515979744358	Neuroblastoma
TARGET-30-PASWVY-01	88.6030846506614	Neuroblastoma
TARGET-30-PASWYR-01	112.969410229321	Neuroblastoma
TARGET-30-PASXGP-01	125.791380900647	Neuroblastoma
TARGET-30-PASXHE-01	113.440225221925	Neuroblastoma
TARGET-30-PASXIE-01	104.241632446182	Neuroblastoma
TARGET-30-PASXRG-01	72.1577260591439	Neuroblastoma
TARGET-30-PASXRJ-01	81.9279731302161	Neuroblastoma
TARGET-30-PASYPX-01	100.851362140984	Neuroblastoma
TARGET-30-PASZKE-01	125.069794118407	Neuroblastoma
TARGET-30-PASZPI-01	66.6614497426254	Neuroblastoma
TARGET-30-PATAYJ-01	89.1390329190233	Neuroblastoma
TARGET-30-PATBMM-01	101.799545162954	Neuroblastoma
TARGET-30-PATCFL-01	76.3884788905821	Neuroblastoma
TARGET-30-PATDWN-01	90.2331693281511	Neuroblastoma
TARGET-30-PATDXC-01	152.904952170199	Neuroblastoma
TARGET-30-PATDXG-01	83.4814821198428	Neuroblastoma
TARGET-30-PATEKG-01	78.1396758114577	Neuroblastoma
TARGET-30-PATEPF-01	114.530574261781	Neuroblastoma
TARGET-30-PATESI-01	86.168269454809	Neuroblastoma
TARGET-30-PATFCY-01	136.332984944359	Neuroblastoma
TARGET-30-PATFXV-01	84.3072562546989	Neuroblastoma
TARGET-30-PATGJU-01	103.550279752684	Neuroblastoma
TARGET-30-PATGLU-01	76.5474576943715	Neuroblastoma
TARGET-30-PATHKB-01	133.693942847218	Neuroblastoma
TARGET-30-PATHVK-01	141.670029011324	Neuroblastoma
TARGET-30-PATINJ-01	124.412693834114	Neuroblastoma
TARGET-30-PATNKP-02	180.354635476091	Neuroblastoma
TARGET-30-PATYIL-01	134.633165927164	Neuroblastoma
TARGET-30-PATYIL-02	109.50765430315	Neuroblastoma
TARGET-30-PAUDDK-01	141.17012015377	Neuroblastoma
TARGET-30-PAUDDK-02	92.0780777031318	Neuroblastoma
TARGET-40-0A4HMC-01A-01R	127.39999999956	Osteosarcoma
TARGET-40-0A4HX8-01A-01R	305.870000000487	Osteosarcoma
TARGET-40-0A4HXS-01A-01R	160.11999999977	Osteosarcoma
TARGET-40-0A4HY5-01A-01R	47.6499999998736	Osteosarcoma
TARGET-40-0A4I0Q-01A-01R	63.0099999999579	Osteosarcoma
TARGET-40-0A4I0W-01A-01R	154.889999999928	Osteosarcoma
TARGET-40-0A4I3S-01A-01R	332.639999999025	Osteosarcoma
TARGET-40-0A4I42-01A-01R	262.069999999336	Osteosarcoma
TARGET-40-0A4I48-01A-01R	275.459999999334	Osteosarcoma
TARGET-40-0A4I4E-01A-01R	106.189999999874	Osteosarcoma
TARGET-40-0A4I4M-01A-01R	477.660000001236	Osteosarcoma
TARGET-40-0A4I4O-01A-01R	551.790000000675	Osteosarcoma
TARGET-40-0A4I5B-01A-01R	297.429999999082	Osteosarcoma
TARGET-40-0A4I65-01A-01R	361.010000000772	Osteosarcoma
TARGET-40-0A4I6O-01A-01R	160.140000000546	Osteosarcoma
TARGET-40-0A4I8U-01A-01R	188.230000000052	Osteosarcoma
TARGET-40-0A4I9K-01A-01R	175.189999999529	Osteosarcoma
TARGET-40-PAKFVX-01A-01R	354.630000000331	Osteosarcoma
TARGET-40-PAKZZK-01A-01R	160.490000000463	Osteosarcoma
TARGET-40-PALECC-01A-01R	163.840000000483	Osteosarcoma
TARGET-40-PALHRL-01A-01R	92.5499999997781	Osteosarcoma
TARGET-40-PALKDP-01A-01R	136.310000000277	Osteosarcoma
TARGET-40-PALKGN-01A-01R	442.389999999254	Osteosarcoma
TARGET-40-PALWWX-01A-01R	366.749999998769	Osteosarcoma
TARGET-40-PALZGU-01A-01R	175.849999999564	Osteosarcoma
TARGET-40-PAMHLF-01A-01R	183.779999999713	Osteosarcoma
TARGET-40-PAMHYN-01A-01R	365.279999999325	Osteosarcoma
TARGET-40-PAMJXS-01A-01R	561.600000001039	Osteosarcoma
TARGET-40-PAMLKS-01A-01R	143.490000000143	Osteosarcoma
TARGET-40-PAMRHD-01A-01R	222.88999999967	Osteosarcoma
TARGET-40-PAMTCM-01A-01R	61.5599999998861	Osteosarcoma
TARGET-40-PAMYYJ-01A-01R	223.610000000523	Osteosarcoma
TARGET-40-PANGPE-01A-01R	193.080000000567	Osteosarcoma
TARGET-40-PANGRW-01A-01R	159.330000000311	Osteosarcoma
TARGET-40-PANMIG-01A-01R	129.849999999939	Osteosarcoma
TARGET-40-PANPUM-01A-01R	130.310000000411	Osteosarcoma
TARGET-40-PANSEN-01A-01R	402.859999999497	Osteosarcoma
TARGET-40-PANVJJ-01A-01R	207.880000000273	Osteosarcoma
TARGET-40-PANXSC-01A-01R	247.340000000564	Osteosarcoma
TARGET-40-PANZHX-01A-01R	246.460000000239	Osteosarcoma
TARGET-40-PANZZJ-01A-01R	65.2000000000066	Osteosarcoma
TARGET-40-PAPFLB-01A-01R	211.58999999995	Osteosarcoma
TARGET-40-PAPIJR-01A-01R	390.920000000509	Osteosarcoma
